City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Wajid,SO,77.86,broken clouds,3.8093,43.2471,xamdihotelresturant114
297,Taoudenni,ML,89.13,broken clouds,22.6783,-3.9836,
299,Arlit,NE,84.85,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
301,Aneho,TG,77.2,overcast clouds,6.2333,1.6,Hotel La Linette
302,Kavaratti,IN,81.97,overcast clouds,10.5669,72.642,Green leaf
303,Matara,LK,81.79,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
304,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
305,Mareeba,AU,84.43,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
310,Xuddur,SO,76.84,broken clouds,4.1213,43.8894,Banjanay Hotel
317,Black River,JM,77.85,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
320,Saint-Louis,SN,81.18,scattered clouds,16.3333,-15.0,
322,San Patricio,US,78.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
323,Hobyo,SO,79.93,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
324,Laguna,US,77.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
325,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
331,Falakata,IN,78.76,overcast clouds,26.5208,89.2055,Hotel Nandanik Palace
334,Keelung,TW,82.11,overcast clouds,25.1283,121.7419,East Coast Star Boutique Hotel
336,Angoche,MZ,77.16,clear sky,-16.2325,39.9086,Guest House HESADA
338,Mancio Lima,BR,75.27,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
339,Tura,IN,81.28,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
341,Dingle,PH,86.83,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
345,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
350,Kirakira,SB,81.93,broken clouds,-10.4544,161.9205,SanBiz Lodge
352,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
353,Tessalit,ML,84.38,few clouds,20.1986,1.0114,
354,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
359,Nobres,BR,77.9,scattered clouds,-14.7203,-56.3275,Hotel Portal Nobres
362,Merauke,ID,84.54,overcast clouds,-8.4667,140.3333,
366,Agadez,NE,77.2,clear sky,19.75,10.25,
367,Razole,IN,76.8,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
370,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
371,Nabire,ID,84.9,moderate rain,-3.3667,135.4833,Hotel Nusantara I
374,Wad Madani,SD,83.01,clear sky,14.4012,33.5199,فندق يوغسلافيا
379,Baran,IN,78.73,overcast clouds,25.1,76.5167,Hotel shree ji
381,Ewa Beach,US,80.55,broken clouds,21.3156,-158.0072,Base Lodging
383,Cam Ranh,VN,85.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
384,Coahuayana,MX,76.24,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
386,Bubaque,GW,81.18,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
402,Nsanje,MW,79.14,clear sky,-16.92,35.262,Nsanje Discovery Lodge
405,Kawalu,ID,77.58,overcast clouds,-7.3817,108.2082,West Jontor
408,Rawatbhata,IN,78.6,overcast clouds,24.9333,75.5833,Bhainsrorgarh Fort Hotel
418,Maine-Soroa,NE,83.23,overcast clouds,13.2114,12.0241,Complexe
422,Ugoofaaru,MV,81.97,overcast clouds,5.6667,73.0,Ungoofaaru Inn
425,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
429,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
430,Alyangula,AU,86.36,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
439,Dourbali,TD,77.5,overcast clouds,11.8091,15.8632,
445,Maamba,ZM,76.19,clear sky,-17.3667,27.15,
452,Bengkulu,ID,83.12,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
453,Buala,SB,84.67,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
454,Lakhnadon,IN,79.43,broken clouds,22.6,79.6,HOTEL PRIDE
456,Ambilobe,MG,82.08,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
457,Najran,SA,75.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
461,Kloulklubed,PW,86.5,few clouds,7.0419,134.2556,Storyboard Beach Resort
465,Acajutla,SV,78.06,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
467,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
470,Sankrail,IN,82.42,light rain,22.55,88.2,NCML COMMODITIES
471,Sola,VU,80.89,few clouds,-13.8833,167.55,Leumerus Bungalows
474,Gawler,AU,76.96,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
476,Nam Dinh,VN,85.26,scattered clouds,20.4167,106.1667,Khách sạn Dệt
483,Nieuw Amsterdam,SR,79.02,few clouds,5.8833,-55.0833,Hotel Stardust
484,Mana,GF,77.77,clear sky,5.6592,-53.7767,LE SAMANA
490,Muana,BR,77.95,few clouds,-1.5283,-49.2167,Pousada Bella do Marajó
491,Pathein,MM,88.27,broken clouds,16.7833,94.7333,Pathein Hotel
493,Manokwari,ID,84.27,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
503,Hirara,JP,85.86,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
507,Lakeway,US,75.92,clear sky,30.3638,-97.9796,Lakeway Resort & Spa
508,Saint-Leu,RE,77.95,broken clouds,-21.15,55.2833,La Caz Oceane
510,Jibuti,DJ,81.63,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
512,Atambua,ID,85.12,overcast clouds,-9.1061,124.8925,Ros Muskanan
513,Mildura,AU,77.07,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
