City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hamilton,US,2022-10-05 19:59:32,39.1834,-84.5333,78.15,30,75,3.0
68,Suraabad,AZ,2022-10-05 19:59:32,40.8192,49.4687,69.66,75,0,13.06
69,Poso,ID,2022-10-05 19:59:32,-1.3959,120.7524,76.33,87,100,3.42
70,New Norfolk,AU,2022-10-05 19:59:33,-42.7826,147.0587,49.91,69,100,1.99
71,Rocha,UY,2022-10-05 19:59:33,-34.4833,-54.3333,65.25,63,90,13.76
72,Baykit,RU,2022-10-05 19:58:09,61.67,96.37,30.74,98,100,2.75
73,Yumen,CN,2022-10-05 19:59:34,40.2833,97.2,41.09,58,6,4.18
74,Hue,VN,2022-10-05 19:56:10,16.4667,107.6,77.11,94,40,2.3
75,Port Elizabeth,ZA,2022-10-05 19:59:34,-33.918,25.5701,61.32,85,40,9.22
76,Hermanus,ZA,2022-10-05 19:59:34,-34.4187,19.2345,55.8,81,0,12.68
77,Luganville,VU,2022-10-05 19:59:35,-15.5333,167.1667,78.39,83,98,11.27
78,Lebu,CL,2022-10-05 19:59:35,-37.6167,-73.65,54.59,69,100,9.84
79,Norman Wells,CA,2022-10-05 19:59:36,65.282,-126.8329,42.84,75,40,13.8
80,Severo-Kurilsk,RU,2022-10-05 19:54:40,50.6789,156.125,42.53,63,65,17.34
81,Vila Franca Do Campo,PT,2022-10-05 19:59:36,37.7167,-25.4333,71.2,88,98,9.42
82,Rawson,AR,2022-10-05 19:59:37,-43.3002,-65.1023,69.42,26,3,23.6
83,Calvinia,ZA,2022-10-05 19:59:37,-31.4707,19.776,52.7,47,100,3.53
84,General Roca,AR,2022-10-05 19:59:38,-39.0333,-67.5833,72.63,16,0,17.11
85,Lavrentiya,RU,2022-10-05 19:59:38,65.5833,-171.0,38.43,90,100,23.24
86,Saint-Pierre,RE,2022-10-05 19:59:38,-21.3393,55.4781,69.48,68,0,5.75
87,Mar Del Plata,AR,2022-10-05 19:54:40,-38.0023,-57.5575,60.82,88,100,10.36
88,Castro,BR,2022-10-05 19:59:39,-24.7911,-50.0119,72.81,70,100,2.24
89,Buin,CL,2022-10-05 19:59:39,-33.7333,-70.75,66.52,50,92,9.33
90,Dongning,CN,2022-10-05 19:59:39,44.0622,131.1207,30.81,69,0,4.56
91,Carnarvon,AU,2022-10-05 20:00:40,-24.8667,113.6333,62.92,61,21,23.67
92,Port Macquarie,AU,2022-10-05 20:00:40,-31.4333,152.9167,56.89,93,100,5.08
93,Yar-Sale,RU,2022-10-05 20:00:40,66.8333,70.8333,33.03,90,26,8.81
94,Avera,US,2022-10-05 20:00:41,33.194,-82.5271,79.56,20,0,5.32
95,Kotri,PK,2022-10-05 20:00:41,25.366,68.3122,83.82,55,0,12.77
96,Longyearbyen,SJ,2022-10-05 19:58:29,78.2186,15.6401,40.84,70,20,18.41
97,Halmstad,SE,2022-10-05 20:00:42,56.6745,12.8568,59.2,77,100,24.16
98,Mahibadhoo,MV,2022-10-05 20:00:42,3.7833,72.9667,81.32,78,100,18.92
99,Koronowo,PL,2022-10-05 19:59:02,53.3137,17.937,55.44,100,98,9.1
100,Clyde River,CA,2022-10-05 20:00:43,70.4692,-68.5914,25.92,83,99,19.42
101,Jamestown,US,2022-10-05 20:00:44,42.097,-79.2353,68.02,41,8,4.0
102,Igarka,RU,2022-10-05 20:00:44,67.4667,86.5833,29.37,91,98,8.28
103,Kalabo,ZM,2022-10-05 20:00:45,-14.97,22.6814,76.68,18,98,5.41
104,Chuy,UY,2022-10-05 20:00:45,-33.6971,-53.4616,63.72,67,90,13.53
105,Tosya,TR,2022-10-05 20:00:46,41.0155,34.0401,51.64,86,20,5.68
106,Kudahuvadhoo,MV,2022-10-05 20:00:46,2.6708,72.8944,81.01,78,100,17.74
107,Kaitangata,NZ,2022-10-05 20:00:46,-46.2817,169.8464,36.95,83,100,14.29
108,Ancud,CL,2022-10-05 20:00:47,-41.8697,-73.8203,48.42,92,100,25.64
109,Cidreira,BR,2022-10-05 20:00:47,-30.1811,-50.2056,64.4,76,54,16.75
110,Port Hueneme,US,2022-10-05 20:00:48,34.1478,-119.1951,92.07,75,20,9.22
111,Nelson Bay,AU,2022-10-05 20:00:49,-32.7167,152.15,62.01,97,100,4.0
112,Ilulissat,GL,2022-10-05 20:00:49,69.2167,-51.1,26.62,63,20,1.14
113,Bethel,US,2022-10-05 20:00:49,41.3712,-73.414,62.42,86,100,1.01
114,Hambantota,LK,2022-10-05 20:00:50,6.1241,81.1185,78.64,81,100,16.58
115,Aklavik,CA,2022-10-05 20:00:50,68.2191,-135.0107,32.67,89,100,14.05
116,Sibolga,ID,2022-10-05 20:00:51,1.7427,98.7792,74.98,87,100,1.79
117,Tuatapere,NZ,2022-10-05 20:00:51,-46.1333,167.6833,38.01,85,100,14.56
118,Bilibino,RU,2022-10-05 20:00:52,68.0546,166.4372,21.13,88,100,7.61
119,Ajdabiya,LY,2022-10-05 20:00:53,30.7554,20.2263,77.29,44,0,10.74
120,Gat,IL,2022-10-05 20:00:53,31.61,34.7642,75.88,100,0,4.32
121,Provideniya,RU,2022-10-05 20:00:54,64.3833,-173.3,39.87,96,100,15.73
122,Lucapa,AO,2022-10-05 20:00:54,-8.4192,20.7447,66.52,86,100,5.55
123,San Isidro,PE,2022-10-05 20:00:54,-12.1167,-77.05,62.94,73,52,13.0
124,Dedza,MW,2022-10-05 20:00:55,-14.3779,34.3332,65.55,24,0,3.42
125,Kieta,PG,2022-10-05 20:00:55,-6.2167,155.6333,78.76,84,80,6.13
